id,group,item1,item2,item3,item4,item5,item6
1,male,-1.21,-0.6,0.17,0.96,0.66,0.98
2,male,-0.81,-0.44,0.09,0.7,-0.1,-0.06
3,male,0.51,-0.26,0.84,-0.39,-0.17,-0.51
4,male,1.95,1.45,0.48,-0.35,0.76,-0.04
5,male,-0.41,-0.93,-0.34,-0.08,-0.87,0.46
6,male,-0.68,-0.96,0.69,0.52,1.13,1.72
7,male,0.35,0.05,1.08,-0.7,0.77,-1.65
8,male,1.06,0.75,1.0,-0.92,-0.63,-1.33
9,male,1.65,2.19,2.21,1.18,0.09,0.52
10,male,1.13,0.1,0.81,1.68,1.09,1.06
11,male,1.39,0.43,1.26,0.46,1.34,1.41
12,male,-0.4,-0.56,0.07,2.12,1.44,1.69
13,male,-0.64,-0.44,0.55,0.34,1.25,0.38
14,male,0.03,-0.44,1.18,1.5,0.38,1.47
15,male,-0.17,-0.18,-0.18,1.13,1.42,1.23
16,male,-1.02,-1.13,-0.41,-1.29,-1.25,-0.72
17,male,0.23,1.08,0.7,0.2,-1.05,-0.23
18,male,-0.94,-1.64,-0.63,-0.54,0.47,-0.6
19,male,0.57,0.13,1.48,0.42,0.59,-0.41
20,male,1.24,2.41,2.52,0.07,-0.45,0.27
21,male,0.56,-1.06,0.48,-0.38,0.64,-0.42
22,male,-1.01,-1.09,-0.3,-1.33,-0.26,0.12
23,male,1.46,2.13,2.62,2.35,2.19,2.27
24,male,0.4,-0.39,0.03,-1.12,-0.73,-0.69
25,male,-0.14,-0.45,-0.52,0.75,1.45,0.2
26,male,0.1,1.05,1.11,1.38,1.23,1.33
27,male,0.6,0.36,0.95,-0.46,-0.07,-0.64
28,male,1.95,1.45,1.34,1.35,1.45,0.88
29,male,2.46,1.45,1.68,1.85,1.74,2.07
30,male,1.29,0.38,0.55,0.59,0.43,0.36
31,male,0.44,-0.16,0.67,-1.24,0.06,-0.29
32,male,0.92,-0.26,0.19,0.15,0.59,0.28
33,male,-0.48,-0.88,0.08,0.3,1.17,0.79
34,male,0.63,0.57,0.31,1.99,0.21,0.58
35,male,-0.06,-0.73,-0.2,-0.61,0.24,-0.12
36,male,-0.31,0.27,-0.09,0.58,0.02,0.85
37,male,0.36,-0.0,0.44,0.43,1.44,1.13
38,male,0.31,0.49,0.8,-0.4,-0.78,-0.07
39,male,0.27,-0.76,0.19,-1.54,-1.24,-1.39
40,male,0.96,0.63,-0.3,0.46,-0.71,-0.43
41,male,1.93,1.06,1.59,-1.54,-0.3,-1.78
42,male,0.32,-0.03,0.52,0.84,1.38,0.52
43,male,0.08,-0.04,0.28,0.2,0.35,0.85
44,male,-0.21,-1.05,-0.01,1.29,1.7,1.84
45,male,-0.08,-0.33,-0.07,-0.11,-0.0,-0.39
46,male,-0.3,-0.66,-0.0,0.44,0.24,1.03
47,male,1.2,1.31,1.18,0.78,1.32,0.47
48,male,0.66,0.24,1.41,0.2,1.99,1.48
49,male,1.52,0.12,0.09,0.04,0.41,0.02
50,male,0.21,1.24,-0.06,-0.23,0.78,0.42
51,male,0.3,0.44,0.52,0.08,-0.18,0.21
52,male,1.39,1.22,1.44,0.85,1.12,0.48
53,male,0.92,0.87,0.06,-0.73,-0.15,-0.37
54,male,0.65,-0.23,-0.47,-0.24,-0.96,-0.78
55,male,-0.76,-0.92,0.15,-0.57,-0.64,-0.44
56,male,1.13,1.75,2.35,0.95,1.65,1.13
57,male,0.58,1.06,0.28,-0.85,0.13,-0.77
58,male,0.65,1.29,1.09,-0.61,0.35,-0.16
59,male,-0.47,-0.31,-0.01,1.86,0.91,1.67
60,male,0.79,1.27,0.58,1.51,1.25,0.48
61,male,0.63,0.4,0.75,-0.28,1.44,0.07
62,male,0.3,0.2,0.97,1.04,0.82,1.69
63,male,0.46,1.59,1.47,-0.64,0.64,-0.47
64,male,-0.18,-0.36,-0.08,-0.21,-0.17,-0.26
65,male,1.36,1.52,2.3,0.46,0.89,0.52
66,male,1.73,1.34,1.37,-1.36,-0.99,-0.89
67,male,1.24,0.82,0.67,-0.67,-0.74,-1.1
68,male,-0.08,-0.71,-0.4,0.43,0.9,0.19
69,male,2.23,0.37,0.51,-0.25,-0.53,0.07
70,male,1.94,1.61,1.86,0.71,0.65,-0.3
71,male,1.9,1.34,1.72,0.81,1.56,1.22
72,male,-1.08,-0.9,-1.04,1.12,1.7,1.32
73,male,0.63,0.71,1.76,2.4,2.31,2.43
74,male,1.27,0.22,1.53,1.39,0.9,0.93
75,male,1.33,0.45,0.98,-0.02,1.07,0.92
76,male,-0.35,0.71,0.27,0.6,1.25,0.33
77,male,1.41,1.61,0.75,0.69,0.62,0.94
78,male,0.52,0.2,-0.2,-0.08,0.85,0.06
79,male,-1.08,-1.25,-0.01,0.95,1.12,0.61
80,male,0.5,-0.45,0.41,-0.66,-1.35,-0.97
81,male,0.34,1.18,0.47,0.84,2.38,1.95
82,male,0.22,-0.16,1.27,0.77,-0.78,0.46
83,male,-0.05,-0.48,-0.51,0.82,0.64,-0.05
84,male,1.64,0.47,1.5,0.52,1.54,0.87
85,male,-2.1,-1.52,-1.02,0.13,-0.19,-0.04
86,male,0.51,0.04,-0.25,0.74,-0.34,0.48
87,male,0.69,-0.05,0.92,0.48,1.83,0.47
88,male,0.86,2.03,0.91,-0.31,1.38,1.38
89,male,1.33,0.76,0.28,0.46,-0.28,-0.05
90,male,-0.88,0.11,-0.74,-1.69,-1.64,-1.04
91,male,0.45,-0.13,0.07,1.1,0.83,1.13
92,male,-2.12,-1.15,-1.89,1.18,1.62,0.94
93,male,1.8,1.46,1.48,-0.57,-0.07,-0.0
94,male,-0.56,-1.8,-0.12,-0.44,0.26,-0.53
95,male,1.43,1.4,1.63,0.77,0.24,1.34
96,male,-0.11,-0.44,0.56,-0.04,-0.63,-0.08
97,male,1.34,0.43,-0.07,0.26,-0.3,0.83
98,male,1.24,1.68,-0.31,-0.34,-0.28,-0.68
99,male,0.41,1.31,0.1,1.66,1.59,0.31
100,male,0.25,0.32,0.37,1.99,1.23,1.56
101,female,0.47,0.23,0.14,-0.15,-0.18,0.22
102,female,0.31,0.18,0.26,-0.05,0.25,1.04
103,female,-0.86,0.37,-1.37,0.71,0.65,0.39
104,female,0.2,0.84,1.03,1.38,0.62,1.45
105,female,0.61,0.21,-0.02,-0.47,-0.85,-0.49
106,female,0.78,0.55,-0.03,1.65,1.35,2.16
107,female,0.48,0.6,0.99,0.6,0.78,1.27
108,female,1.0,0.16,0.92,0.69,0.85,0.97
109,female,-1.37,-1.67,-1.89,0.43,-0.05,1.12
110,female,-0.02,0.55,0.11,-0.85,-0.59,-0.73
111,female,-1.05,0.37,-0.71,0.34,1.24,0.6
112,female,1.47,0.32,0.98,0.48,0.02,-0.02
113,female,0.39,0.95,0.49,0.76,0.98,1.77
114,female,1.67,1.3,1.18,3.44,1.94,2.7
115,female,-0.43,0.44,0.93,1.88,2.28,1.49
116,female,-0.86,0.52,0.73,-0.41,-0.03,0.21
117,female,-0.38,-0.48,0.4,0.12,0.53,0.35
118,female,1.27,0.81,1.41,1.1,-0.01,0.96
119,female,1.82,1.67,2.09,0.1,-0.22,0.45
120,female,0.37,0.59,-0.28,0.88,0.81,-0.08
121,female,-0.47,-0.55,-0.05,0.3,0.14,0.83
122,female,0.52,0.88,0.22,1.64,2.15,1.04
123,female,0.23,-0.05,1.56,0.88,2.0,0.9
124,female,0.24,-0.17,0.06,1.36,1.05,1.39
125,female,-1.28,-1.64,-1.53,-0.28,0.43,0.87
126,female,-0.06,-0.57,-0.43,0.16,0.61,0.43
127,female,-2.11,-0.77,-0.48,-0.35,0.67,1.14
128,female,0.21,-0.2,-0.44,1.34,1.55,0.79
129,female,1.13,0.64,2.62,-0.48,0.12,0.73
130,female,3.18,1.87,2.96,-0.14,1.16,0.63
131,female,-0.55,-0.26,1.14,2.52,2.61,3.16
132,female,0.47,0.85,1.27,1.65,1.24,0.49
133,female,1.18,-0.33,0.93,-0.42,0.96,0.52
134,female,0.5,0.88,0.73,1.36,1.19,0.07
135,female,0.84,0.04,0.17,1.62,2.2,2.19
136,female,0.38,-0.81,-0.19,1.35,1.62,1.07
137,female,0.3,0.17,0.22,-0.44,-0.06,0.59
138,female,-0.6,-0.85,-0.24,1.61,1.1,0.76
139,female,-0.04,-0.51,0.21,1.24,0.54,1.1
140,female,0.65,0.79,1.17,1.8,1.8,1.56
141,female,0.25,0.68,1.45,-0.0,0.33,-0.77
142,female,-0.61,-1.36,0.06,1.6,3.02,2.14
143,female,0.88,0.63,0.05,0.95,0.82,-0.58
144,female,0.51,-0.13,0.97,-0.84,-0.31,0.47
145,female,-0.25,-0.47,0.44,0.33,-0.72,-0.29
146,female,0.93,0.47,0.29,0.11,-0.02,0.61
147,female,0.32,1.46,0.57,1.08,1.65,1.05
148,female,0.99,0.6,0.86,-0.93,-1.3,-1.37
149,female,1.38,1.84,1.92,1.96,1.69,1.28
150,female,0.11,-0.35,-0.39,1.56,1.91,2.48
151,female,1.26,1.5,2.48,1.95,2.4,1.01
152,female,-1.39,-0.16,0.85,-0.25,0.35,-0.27
153,female,-0.47,0.53,-0.8,0.98,0.77,1.56
154,female,-0.14,0.56,0.86,-1.12,-0.69,-0.73
155,female,-0.4,-0.86,-0.41,-1.13,-0.58,-0.15
156,female,-0.4,-0.19,-0.65,-0.99,-1.04,-0.2
157,female,0.73,-0.5,-0.01,2.24,2.91,2.48
158,female,0.86,1.41,-0.26,1.38,1.35,2.17
159,female,-0.45,-0.04,1.52,1.89,0.33,1.35
160,female,0.57,1.36,1.23,0.49,0.37,1.27
161,female,0.07,-0.0,-0.8,0.86,-0.26,0.3
162,female,0.84,-0.9,-0.02,-0.4,0.71,0.77
163,female,-0.03,1.09,0.38,1.5,1.92,1.88
164,female,1.11,0.83,0.66,-0.44,-0.54,-0.27
165,female,0.9,1.79,1.05,0.05,0.3,0.81
166,female,2.06,1.45,1.25,2.0,1.71,0.83
167,female,0.08,-0.38,0.27,-0.49,-0.15,-0.14
168,female,0.35,0.91,0.23,0.39,0.62,0.09
169,female,-0.65,-0.96,0.07,-1.01,-0.92,-0.39
170,female,0.88,0.97,-0.19,0.99,-0.03,0.41
171,female,1.59,1.29,2.09,0.37,1.15,1.29
172,female,2.55,1.69,3.26,1.64,1.06,2.53
173,female,-0.69,-1.18,-0.11,0.06,0.23,0.78
174,female,-1.14,-0.25,0.5,2.82,1.69,1.33
175,female,-0.14,0.99,0.32,1.28,1.22,0.54
176,female,0.3,1.82,0.11,0.44,1.1,0.34
177,female,0.62,0.22,0.42,-1.19,0.08,-0.27
178,female,0.22,-0.26,0.41,-0.44,-0.35,-0.06
179,female,0.66,0.8,0.02,0.84,1.62,1.2
180,female,1.12,1.7,1.25,1.66,2.23,1.77
181,female,1.94,2.11,1.98,-0.42,-0.49,-0.11
182,female,0.73,1.43,1.66,1.1,1.11,1.63
183,female,0.42,0.2,0.69,0.17,-0.1,-0.12
184,female,0.57,-0.76,0.59,1.17,0.87,2.27
185,female,1.98,0.35,0.57,1.99,0.77,1.41
186,female,0.74,0.03,1.17,1.78,0.99,1.21
187,female,0.64,-0.17,0.08,-0.82,-0.22,0.38
188,female,0.57,1.28,0.85,-0.94,-0.78,-1.19
189,female,1.14,0.45,0.14,0.65,1.17,0.08
190,female,-1.45,-0.22,-1.36,0.06,1.16,0.67
191,female,0.02,-0.12,1.06,-0.09,-0.41,0.47
192,female,1.66,1.25,0.66,0.38,0.09,0.25
193,female,-0.11,-0.94,-0.56,0.86,1.26,1.0
194,female,-0.27,-0.65,-0.65,1.94,1.41,1.83
195,female,-1.06,-0.24,-0.39,1.08,0.98,0.61
196,female,1.0,0.83,1.6,-0.35,0.08,-0.04
197,female,-1.2,-1.02,-0.73,0.53,0.03,-0.02
198,female,-0.29,-0.24,0.15,-0.07,0.5,-0.42
199,female,1.04,0.53,0.62,1.23,0.85,1.68
200,female,-1.12,-1.08,-0.82,0.17,1.0,0.02
